species	2011	1996	2014	2006	1994	2019	2008	2004	1990	1988	1986	2010	2016	2013	2000	2015	2018	2017	2007	2012	2020	2009	2003	2002
Aphanius iberus	NA	DD	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphanius fasciatus	NA	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphanius splendens	NA	CR	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphanius sureyanus	NA	CR	EN	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphanius transgrediens	NA	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aplochiton marinus	NA	DD	NA	NA	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapaima gigas	NA	DD	NA	NA	K	NA	NA	NA	K	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neoarius taylori	NA	DD	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arius madagascariensis	NA	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leuciscus aspius	NA	DD	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Haplochromis barbarae	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haplochromis brownae	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haplochromis latifasciatus	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haplochromis martini	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haplochromis megalops	NA	EX	NA	CR	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haplochromis velifer	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ataeniobius toweri	NA	EN	NA	NA	E	EN	NA	NA	E	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atherina boyeri	NA	DD	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austroglanis barnardi	NA	CR	NA	NA	E	NA	NA	NA	E	E	NA	NA	NA	NA	NA	NA	NA	EN	EN	NA	NA	NA	NA	NA
Austroglanis gilli	NA	VU	NA	NA	R	NA	NA	NA	R	R	R	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	NA	NA
Austroglanis sclateri	NA	DD	NA	NA	I	NA	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA
Austromenidia gracilis	NA	DD	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Balantiocheilos melanopterus	NA	EN	NA	NA	I	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Balistes vetula	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Pseudobarbus capensis	NA	VU	NA	NA	V	NA	NA	NA	V	V	NA	NA	NA	NA	NA	NA	NA	EN	EN	NA	NA	NA	NA	NA
Barbus barbus	LC	LR/lc	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudobarbus calidus	NA	EN	NA	NA	R	NA	NA	NA	R	R	R	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	NA	NA
Pseudobarbus erubescens	NA	CR	NA	NA	E	NA	NA	NA	V	V	V	NA	NA	NA	NA	NA	NA	CR	CR	NA	NA	NA	NA	NA
Enteromius hospes	NA	LR/nt	NA	NA	R	NA	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA
Barbus meridionalis	NA	LR/lc	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbus plebejus	LC	LR/nt	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudobarbus serra	NA	EN	NA	NA	V	NA	NA	NA	V	V	NA	NA	NA	NA	NA	NA	NA	EN	EN	NA	NA	NA	NA	NA
Enteromius treurensis	NA	LR/cd	NA	NA	V	NA	NA	NA	V	V	E	NA	NA	NA	NA	NA	NA	CR	EN	NA	NA	NA	NA	NA
Pseudobarbus trevelyani	NA	CR	NA	NA	E	NA	NA	NA	V	V	E	NA	NA	NA	NA	NA	EN	NA	EN	NA	NA	NA	NA	NA
Enteromius brevipinnis	NA	VU	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NT	NA	NA	NA	NA	NA
Luciobarbus comizo	NA	VU	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbus euboicus	NA	CR	NA	CR	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luciobarbus guiraonis	NA	VU	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbus haasi	NA	VU	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luciobarbus microcephalus	NA	VU	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enteromius motebensis	NA	VU	NA	NA	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	NA	NA
Barbus prespensis	LC	VU	NA	VU	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luciobarbus bocagei	NA	LR/lc	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbus cyclolepis	NA	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luciobarbus graellsii	NA	LR/lc	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbus peloponnesius	NA	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luciobarbus sclateri	NA	LR/nt	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luciobarbus steindachneri	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbus tyberinus	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbus caninus	NA	LR/nt	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Basilichthys australis	NA	LR/nt	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Basilichthys microlepidotus	NA	DD	NA	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathygobius burtoni	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA
Batrachoides manglae	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Bedotia geayi	NA	DD	NA	NA	K	NA	NA	VU	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bedotia longianalis	NA	DD	NA	NA	K	NA	NA	LC	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bedotia madagascariensis	NA	DD	NA	NA	K	NA	NA	NT	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bedotia tricolor	NA	LR/lc	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belontia signata	NA	LR/cd	NA	NA	R	VU	NA	NA	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Benthophiloides brauneri	NA	DD	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta burdigala	NA	VU	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta chloropharynx	NA	VU	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta hipposideros	NA	VU	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta livida	NA	EN	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta spilotogena	NA	CR	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta simplex	CR	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta tomi	NA	VU	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta persephone	NA	CR	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta miniopinna	NA	CR	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta chini	NA	VU	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Betta macrostoma	NA	VU	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bidyanus bidyanus	NA	VU	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boroda expatria	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bostrychus aruensis	NA	DD	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bostrychus zonatus	NA	DD	NA	NA	I	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA
Yasuhikotakia sidthimunki	EN	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brachionichthys hirsutus	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA
Brachygalaxias bullocki	NA	DD	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brachygalaxias gothei	NA	DD	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bullockia maldonadoi	NA	DD	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Butis butis	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA
Caecobarbus geertsii	NA	VU	NA	NA	E	NA	NA	NA	E	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caecocypris basimi	NA	VU	CR	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caecorhamdella brasiliensis	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cairnsichthys rhombosomoides	NA	VU	NA	NA	R	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Callionymus sanctaehelenae	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campellolebias brucei	NA	VU	NA	NA	E	NA	NA	NA	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canthigaster rapaensis	NA	VU	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Capoeta antalyensis	NA	DD	VU	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Capoeta pestai	NA	LR/nt	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carassius carassius	NA	LR/lc	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus bernardini	NA	VU	NA	NA	V	LC	NA	NA	V	V	V	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus cahita	NA	VU	NA	NA	V	LC	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus conchos	NA	VU	NA	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus leopoldi	NA	VU	NA	NA	R	VU	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus microps	NA	EN	NT	NA	E	NA	NA	NA	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus santaanae	NA	VU	EN	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus warnerensis	NA	VU	EN	NA	E	NA	NA	NA	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus wigginsi	NA	VU	NA	NA	R	VU	NA	NA	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Catostomus snyderi	NA	LR/nt	NT	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Odontesthes mauleanum	NA	LR/nt	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Centropyge resplendens	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbodes pachycheilus	NA	CR	NA	NA	V	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chaetodon flavocoronatus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chaetodon litus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chaetodon marleyi	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prognathodes obliquus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chaetodon robustus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alburnus tarichi	NA	DD	NT	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Characodon audax	NA	VU	NA	NA	V	EN	NA	NA	V	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Characodon garmani	NA	EX	NA	NA	Ex	EX	NA	NA	Ex	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Characodon lateralis	NA	EN	NA	NA	E	CR	NA	NA	E	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chasmistes brevirostris	NA	EN	NA	NA	E	NA	NA	NA	E	E	E	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chasmistes cujus	NA	CR	EN	NA	E	NA	NA	NA	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chasmistes muriei	NA	EX	NA	NA	Ex	NA	NA	NA	Ex	Ex	Ex	NA	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheilinus undulatus	NA	VU	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirodon australe	NA	DD	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
