	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
901	Arizelocichla montana				NT				NT				NT		NT		NT					
902	Arizelocichla neumanni																LC					
903	Arizelocichla nigriceps																LC					
904	Arizelocichla striifacies																LC					
905	Arizelocichla tephrolaema				LC				LC	LC			LC				LC					
906	Arremon abeillei																LC					
907	Arremon assimilis																LC					
908	Arremon atricapillus																LC		LC			
909	Arremon aurantiirostris				LC				LC	LC			LC				LC					
910	Arremon axillaris																LC					
911	Arremon basilicus																NT					
912	Arremon brunneinucha				LC				LC	LC			LC				LC		LC			
913	Arremon castaneiceps				LC				LC	LC			NT				NT		NT			
914	Arremon costaricensis																LC					
915	Arremon crassirostris				LC				LC	LC			LC				LC					
916	Arremon franciscanus				NT				NT				NT	NT			NT					
917	Arremon nigriceps																LC					
918	Arremon perijanus																VU					
919	Arremon phaeopleurus																LC					
920	Arremon phygas																VU					
921	Arremon schlegeli				LC				LC	LC			LC				LC					
922	Arremon semitorquatus				LC				LC	LC			LC				LC		LC			
923	Arremon taciturnus																LC					
924	Arremon torquatus																LC					
925	Arremon virenticeps				LC				LC	LC			LC				LC					
926	Arremonops chloronotus				LC				LC	LC			LC				LC		LC			
927	Arremonops conirostris				LC				LC	LC			LC				LC		LC			
928	Arremonops rufivirgatus				LC				LC	LC			LC				LC		LC			
929	Arremonops tocuyensis				LC				LC	LC			LC				LC					
930	Arses insularis				LC				LC	LC			LC				LC					
931	Arses kaupi				LC				LC	LC			LC				LC					
932	Arses lorealis																LC	LC				
933	Arses telescopthalmus																LC	LC				
934	Artamella viridis				LC				LC	LC			LC				LC					
935	Artamus cinereus				LC				LC	LC			LC				LC					
936	Artamus cyanopterus				LC				LC	LC			LC				LC					
937	Artamus fuscus				LC				LC	LC			LC				LC					
938	Artamus insignis				LC				LC	LC			LC				LC		LC			
939	Artamus leucoryn				LC				LC	LC			LC				LC	LC				
940	Artamus maximus				LC				LC	LC			LC				LC		LC			
941	Artamus mentalis				LC				LC	LC			LC				LC					
942	Artamus minor				LC				LC	LC			LC				LC					
943	Artamus monachus				LC				LC	LC			LC				LC		LC			
944	Artamus personatus				LC				LC	LC			LC				LC	LC				
945	Artamus superciliosus				LC				LC	LC			LC				LC					
946	Artemisiospiza belli																LC					
947	Artemisiospiza nevadensis																LC					
948	Artisornis metopias				LC				LC	LC			LC				LC	LC				
949	Artisornis moreaui																CR	CR	CR			
950	Artisornis sousae																EN					
951	Arundinax aedon				LC				LC	LC			LC				LC					
952	Arundinicola leucocephala				LC				LC	LC			LC				LC					
953	Asarcornis scutulata				EN		EN		EN				EN	EN			EN	EN				
954	Asemospiza fuliginosa				LC				LC	LC			LC				LC		LC			
955	Asemospiza obscura				LC				LC	LC			LC				LC					
956	Ashbyia lovensis				LC				LC	LC			LC				LC	LC				
957	Asio abyssinicus				LC				LC	LC			LC				LC					
958	Asio capensis				LC				LC	LC			LC			LC	LC					
959	Asio clamator				LC				LC	LC			LC				LC					
960	Asio flammeus				LC				LC	LC			LC			LC	LC					
961	Asio madagascariensis				LC				LC	LC			LC				LC		LC			
962	Asio otus				LC				LC	LC			LC			LC	LC		LC			
963	Asio stygius				LC				LC	LC			LC				LC					
964	Aspatha gularis				LC				LC	LC			LC				LC					
965	Asthenes anthoides				LC				LC	LC			LC				LC					
966	Asthenes arequipae																LC					
967	Asthenes ayacuchensis																LC					
968	Asthenes baeri				LC				LC	LC			LC				LC					
969	Asthenes berlepschi				NT				NT				NT				NT		NT			
970	Asthenes coryi				LC				LC	LC			LC				LC					
971	Asthenes dorbignyi																LC					
972	Asthenes flammulata				LC				LC	LC			LC				LC					
973	Asthenes fuliginosa				LC				LC	LC			LC				LC		LC			
974	Asthenes griseomurina				LC				LC	LC			LC				LC					
975	Asthenes harterti				LC				LC	LC			LC				LC					
976	Asthenes helleri				LC				LC	LC			VU				VU					
977	Asthenes heterura				NT				NT				NT				NT					
978	Asthenes huancavelicae																NT					
979	Asthenes hudsoni				LC				LC	LC		NT	NT				NT					
980	Asthenes humilis				LC				LC	LC			LC				LC					
981	Asthenes luizae				VU				VU			NT	NT				NT					
982	Asthenes maculicauda				LC				LC	LC			LC				LC	LC				
983	Asthenes modesta				LC				LC	LC			LC				LC					
984	Asthenes moreirae				LC				LC	LC			LC				LC					
985	Asthenes ottonis				LC				LC	LC			LC				LC					
986	Asthenes palpebralis				LC				LC	LC			LC	LC			LC					
987	Asthenes perijana				EN				EN				EN				EN					
988	Asthenes pudibunda				LC				LC	LC			LC				LC	LC				
989	Asthenes pyrrholeuca				LC				LC	LC			LC				LC					
990	Asthenes urubambensis				NT				NT				NT				NT					
991	Asthenes usheri																VU					
992	Asthenes vilcabambae																LC					
993	Asthenes virgata				LC				LC	LC			LC				LC	LC				
994	Asthenes wyatti																LC	LC				
995	Astrapia mayeri				NT				NT				NT				NT					
996	Astrapia nigra				LC				LC	LC			LC				LC					
997	Astrapia rothschildi				LC				LC	LC			LC				LC		LC			
998	Astrapia splendidissima				LC				LC	LC			LC				LC					
999	Astrapia stephaniae				LC				LC	LC			LC				LC		LC			
1000	Atalotriccus pilaris				LC				LC	LC			LC				LC					
1001	Atelornis crossleyi				NT				NT				NT				NT					
1002	Atelornis pittoides				LC				LC	LC			LC				LC					
1003	Athene brama				LC				LC	LC			LC				LC					
1004	Athene cunicularia				LC				LC	LC			LC				LC					
1005	Athene noctua				LC				LC	LC			LC				LC		LC			
1006	Athene superciliaris				LC				LC	LC			LC				LC					
1007	Atimastillas flavicollis																LC					
1008	Atimastillas flavigula																LC					
1009	Atlantisia rogersi				VU				VU				VU				VU					
1010	Atlapetes albiceps				LC				LC	LC			LC				LC					
1011	Atlapetes albinucha						LC		LC	LC			LC				LC		LC			
1012	Atlapetes albofrenatus																LC					
1013	Atlapetes blancae									CR	CR		CR	CR		CR	CR			CR		
1014	Atlapetes canigenis				LC				LC	LC			LC				LC					
1015	Atlapetes citrinellus				LC				LC	LC			LC				LC					
1016	Atlapetes crassus																LC					
1017	Atlapetes flaviceps				EN				EN				EN				EN	EN				
1018	Atlapetes forbesi				LC				LC	LC			LC				LC					
1019	Atlapetes fulviceps				LC				LC	LC			LC				LC					
1020	Atlapetes fuscoolivaceus				NT				NT				NT				NT		NT			
1021	Atlapetes latinuchus																LC					
1022	Atlapetes leucopis				LC				LC	LC			LC				LC		LC			
1023	Atlapetes leucopterus																LC					
1024	Atlapetes melanocephalus				LC				LC	LC			LC				LC					
1025	Atlapetes melanolaemus						LC		LC	LC			LC				LC		LC			
1026	Atlapetes melanopsis				EN				EN				EN				EN					
1027	Atlapetes meridae																LC					
1028	Atlapetes nationi				LC				LC	LC			LC				LC					
1029	Atlapetes nigrifrons																NT					
1030	Atlapetes pallidiceps				CR		CR		CR	CR	CR	EN	EN	EN			EN					
1031	Atlapetes pallidinucha				LC				LC	LC			LC				LC					
1032	Atlapetes paynteri																LC					
1033	Atlapetes personatus				LC				LC	LC			LC				LC		LC			
1034	Atlapetes pileatus				LC				LC	LC			LC				LC					
1035	Atlapetes rufigenis				NT				NT				NT				NT					
1036	Atlapetes rufinucha						LC		LC	LC			LC				LC					
1037	Atlapetes schistaceus																LC					
1038	Atlapetes seebohmi				LC				LC	LC			LC				LC		LC			
1039	Atlapetes semirufus				LC				LC	LC			LC				LC					
1040	Atlapetes taczanowskii																LC					
1041	Atlapetes terborghi				NT				NT				NT				NT					
1042	Atlapetes tricolor																LC					
1043	Atrichornis clamosus				VU		VU		VU				EN				EN					
1044	Atrichornis rufescens				NT				VU				EN				EN					
1045	Atronanus fuliginosus				LC				LC	LC			LC				LC	LC				
1046	Attagis gayi				LC				LC	LC			LC				LC					
1047	Attagis malouinus				LC				LC	LC			LC				LC					
1048	Atthis ellioti				LC				LC	LC			LC				LC					
1049	Atthis heloisa				LC				LC	LC			LC				LC					
1050	Atticora fasciata				LC				LC	LC			LC				LC					
1051	Atticora pileata				LC				LC	LC			LC				LC					
1052	Atticora tibialis				LC				LC	LC			LC				LC					
1053	Attila bolivianus				LC				LC	LC			LC				LC					
1054	Attila cinnamomeus				LC				LC	LC			LC				LC					
1055	Attila citriniventris				LC				LC	LC			LC				LC	LC				
1056	Attila phoenicurus				LC				LC	LC			LC				LC		LC			
1057	Attila rufus				LC				LC	LC			LC				LC		LC			
1058	Attila spadiceus				LC				LC	LC			LC				LC	LC				
1059	Attila torridus				VU				VU				VU				VU					
1060	Augastes lumachella				NT				NT				NT				NT			NT		
1061	Augastes scutatus				NT				NT				NT				NT		LC			
1062	Aulacorhynchus albivitta														LC		LC					
1063	Aulacorhynchus atrogularis														LC		LC					
1064	Aulacorhynchus caeruleogularis														LC		LC					
1065	Aulacorhynchus calorhynchus														LC		LC					
1066	Aulacorhynchus coeruleicinctis				LC				LC	LC			LC				LC					
1067	Aulacorhynchus cyanolaemus														LC		LC					
1068	Aulacorhynchus derbianus														LC		LC					
1069	Aulacorhynchus haematopygus				LC				LC	LC			LC				LC					
1070	Aulacorhynchus huallagae				EN				EN				EN				EN			EN		
1071	Aulacorhynchus prasinus														LC		LC					
1072	Aulacorhynchus sulcatus														LC		LC					
1073	Aulacorhynchus wagleri														LC		LC					
1074	Aulacorhynchus whitelianus														LC		LC					
1075	Auriparus flaviceps				LC				LC	LC			LC				LC	LC				
1076	Automolus infuscatus																LC					
1077	Automolus lammi														VU		VU	EN				
1078	Automolus leucophthalmus														LC		LC					
1079	Automolus melanopezus				LC				LC	LC			LC				LC		LC			
1080	Automolus ochrolaemus				LC				LC	LC			LC				LC		LC			
1081	Automolus paraensis																LC					
1082	Automolus rufipileatus				LC				LC	LC			LC				LC	LC	LC			
1083	Automolus subulatus																LC					
1084	Automolus virgatus																LC					
1085	Aviceda cuculoides				LC				LC	LC			LC	LC		LC	LC					
1086	Aviceda jerdoni				LC				LC	LC			LC			LC	LC					
1087	Aviceda leuphotes				LC				LC	LC			LC			LC	LC					
1088	Aviceda madagascariensis				LC				LC	LC			LC				LC					
1089	Aviceda subcristata				LC				LC	LC			LC				LC					
1090	Avocettula recurvirostris				LC				LC	LC			LC	LC			LC		LC			
1091	Aythya affinis				LC				LC	LC			LC				LC					
1092	Aythya americana				LC				LC	LC			LC				LC					
1093	Aythya australis				LC				LC	LC			LC				LC					
1094	Aythya baeri				VU				EN				CR	CR		CR	CR	CR		CR		
1095	Aythya collaris				LC				LC	LC			LC				LC					
1096	Aythya ferina				LC				LC	LC			LC			VU	VU			VU		
1097	Aythya fuligula				LC				LC	LC			LC			LC	LC					
1098	Aythya innotata				CR		CR	CR	CR	CR	CR	CR	CR	CR		CR	CR		CR			
1099	Aythya marila				LC				LC	LC			LC				LC		LC			
1100	Aythya novaeseelandiae				LC				LC	LC			LC				LC					
1101	Aythya nyroca				NT		NT		NT				NT				NT	NT		NT		
1102	Aythya valisineria				LC				LC	LC			LC				LC					
1103	Baeolophus atricristatus				LC				LC	LC			LC				LC					
1104	Baeolophus bicolor				LC				LC	LC			LC				LC					
1105	Baeolophus inornatus				LC				LC	LC			LC				LC					
1106	Baeolophus ridgwayi				LC				LC	LC			LC				LC	LC				
1107	Baeolophus wollweberi				LC				LC	LC			LC				LC					
1108	Baeopogon clamans				LC				LC	LC			LC				LC					
1109	Baeopogon indicator				LC				LC	LC			LC				LC		LC			
1110	Balaeniceps rex				VU		VU		VU				VU			VU	VU		VU			
1111	Balearica pavonina				NT		NT		NT		VU		VU				VU					
1112	Balearica regulorum				LC				LC	VU			EN	EN			EN					
1113	Bambusicola fytchii				LC				LC	LC			LC				LC					
1114	Bambusicola sonorivox														LC		LC					
1115	Bambusicola thoracicus														LC		LC					
1116	Bangsia arcaei				NT				NT				NT				NT		NT			
1117	Bangsia aureocincta				EN				EN				EN				EN	EN				
1118	Bangsia edwardsi				LC				LC	LC			LC				LC					
1119	Bangsia flavovirens				VU				VU				VU				VU		VU			
1120	Bangsia melanochlamys				VU				VU				VU				VU					
1121	Bangsia rothschildi				LC				LC	LC			LC				LC					
1122	Barnardius zonarius				LC				LC	LC			LC				LC					
1123	Bartramia longicauda				LC				LC	LC			LC				LC					
1124	Baryphthengus martii				LC				LC	LC			LC				LC					
1125	Baryphthengus ruficapillus				LC				LC	LC			LC				LC					
1126	Basileuterus auricapilla																LC					
1127	Basileuterus belli				LC				LC	LC			LC				LC					
1128	Basileuterus cabanisi																LC	LC				
1129	Basileuterus culicivorus																LC	LC				
1130	Basileuterus griseiceps				EN				EN				EN				EN					
1131	Basileuterus hypoleucus				LC				LC	LC			LC				LC		LC			
1132	Basileuterus ignotus				VU			VU	VU				VU				VU					
1133	Basileuterus lachrymosus				LC				LC	LC			LC				LC					
1134	Basileuterus melanogenys				LC				LC	LC			LC				LC					
1135	Basileuterus rufifrons				LC				LC	LC			LC				LC		LC			
1136	Basileuterus trifasciatus				LC				LC	LC			LC				LC					
1137	Basileuterus tristriatus				LC				LC	LC			LC				LC		LC			
1138	Basilinna leucotis				LC				LC	LC			LC				LC					
1139	Basilinna xantusii				LC				LC	LC			LC				LC					
1140	Basilornis celebensis				LC				LC	LC			LC				LC		LC			
1141	Basilornis corythaix				LC				LC	LC			LC				LC					
1142	Basilornis galeatus				NT				NT				NT				NT		NT			
1143	Batara cinerea				LC				LC	LC			LC				LC		LC			
1144	Bathmocercus cerviniventris				NT				NT				NT				NT		DD			
1145	Bathmocercus rufus				LC				LC	LC			LC				LC					
1146	Batis capensis																LC					
1147	Batis crypta								LC	LC			LC				LC	LC				
1148	Batis dimorpha																LC					
1149	Batis diops				LC				LC	LC			LC				LC					
1150	Batis erlangeri												LC	LC			LC					
1151	Batis fratrum				LC				LC	LC			LC				LC					
1152	Batis ituriensis				LC				LC	LC			LC				LC					
1153	Batis margaritae				LC				LC	LC			LC				LC					
1154	Batis minima				NT				NT				NT				NT	LC				
1155	Batis minor												LC	LC			LC					
1156	Batis minulla				LC				LC	LC			LC				LC					
1157	Batis mixta																LC					
1158	Batis molitor				LC				LC	LC			LC				LC					
1159	Batis occulta				LC				LC	LC			LC				LC					
1160	Batis orientalis				LC				LC	LC			LC				LC					
1161	Batis perkeo				LC				LC	LC			LC				LC					
1162	Batis poensis				LC				LC	LC			LC				LC					
1163	Batis pririt				LC				LC	LC			LC				LC					
1164	Batis reichenowi																LC					
1165	Batis senegalensis				LC				LC	LC			LC				LC	LC				
1166	Batis soror				LC				LC	LC			LC				LC					
1167	Batrachostomus auritus				NT				NT				NT				NT	NT				
1168	Batrachostomus cornutus				LC				LC	LC			LC				LC					
1169	Batrachostomus harterti				NT				NT				NT				NT					
1170	Batrachostomus hodgsoni				LC				LC	LC			LC				LC		LC			
1171	Batrachostomus javensis														LC		LC					
1172	Batrachostomus mixtus				NT				NT				NT	NT			NT					
1173	Batrachostomus moniliger				LC				LC	LC			LC				LC					
1174	Batrachostomus poliolophus				NT				NT				NT	NT			NT	NT				
1175	Batrachostomus septimus				LC				LC	LC			LC				LC					
1176	Batrachostomus stellatus				NT				NT				NT				NT					
1177	Berenicornis comatus				NT				NT				NT				NT	NT	EN			
1178	Berlepschia rikeri				LC				LC	LC			LC				LC					
1179	Bernieria madagascariensis				LC				LC	LC			LC				LC					
1180	Bias musicus				LC				LC	LC			LC				LC					
1181	Biatas nigropectus				VU				VU				VU				VU	VU	VU			
1182	Biziura lobata				LC				LC	LC			LC				LC					
1183	Bleda canicapillus				LC				LC	LC			LC				LC		LC			
1184	Bleda eximius				VU				VU				NT	NT			NT		NT			
1185	Bleda notatus																LC	LC				
1186	Bleda syndactylus				LC				LC	LC			LC				LC					
1187	Bleda ugandae																LC					
1188	Blythipicus pyrrhotis				LC				LC	LC			LC				LC		LC			
1189	Blythipicus rubiginosus				LC				LC	LC			LC				LC					
1190	Bocagia minuta				LC				LC	LC			LC				LC	LC				
1191	Boissonneaua flavescens				LC				LC	LC			LC				LC					
1192	Boissonneaua jardini				LC				LC	LC			LC				LC		LC			
1193	Boissonneaua matthewsii				LC				LC	LC			LC				LC					
1194	Bolbopsittacus lunulatus				LC				LC	LC			LC				LC					
1195	Bolborhynchus ferrugineifrons				VU				VU				VU				VU					
1196	Bolborhynchus lineola				LC				LC	LC			LC				LC					
1197	Bolborhynchus orbygnesius				LC				LC	LC			LC				LC					
1198	Bolemoreus frenatus				LC				LC	LC			LC				LC					
1199	Bolemoreus hindwoodi				LC				LC	LC			LC				LC			LC		
1200	Bombycilla cedrorum				LC				LC	LC			LC				LC					
1201	Bombycilla garrulus				LC				LC	LC			LC		LC		LC					
1202	Bombycilla japonica				NT				NT				NT				NT		NT			
1203	Bonasa bonasia				LC				LC	LC			LC				LC					
1204	Bonasa sewerzowi				NT				NT				NT				NT	NT				
1205	Bonasa umbellus				LC				LC	LC			LC				LC		LC			
1206	Bostrychia bocagei				CR			CR	CR	CR	CR	CR	CR	CR		CR	CR	CR	CR			
1207	Bostrychia carunculata				LC				LC	LC			LC				LC					
1208	Bostrychia hagedash				LC				LC	LC			LC				LC					
1209	Bostrychia olivacea				LC				LC	LC			LC				LC					
1210	Bostrychia rara				LC				LC	LC			LC				LC		LC			
1211	Botaurus lentiginosus				LC				LC	LC			LC				LC					
1212	Botaurus pinnatus				LC				LC	LC			LC				LC					
1213	Botaurus poiciloptilus				EN		EN		EN	EN			EN		EN		EN					
1214	Botaurus stellaris				LC				LC	LC			LC				LC					
1215	Brachycope anomala				LC				LC	LC			LC				LC		LC			
1216	Brachygalba albogularis				LC				LC	LC			LC				LC		LC			
1217	Brachygalba goeringi				LC				LC	LC			LC				LC					
1218	Brachygalba lugubris				LC				LC	LC			LC				LC					
1219	Brachygalba salmoni				LC				LC	LC			LC				LC					
1220	Brachypodius atriceps																LC					
1221	Brachypodius fuscoflavescens																NT	LC	LC			
1222	Brachypodius priocephalus				LC				LC	LC	NT		NT				NT					
1223	Brachypteracias leptosomus				VU				VU				VU				VU					
1224	Brachypteryx cruralis																LC					
1225	Brachypteryx erythrogyna																LC					
1226	Brachypteryx floris																LC					
1227	Brachypteryx goodfellowi																LC					
1228	Brachypteryx hyperythra				VU			NT	NT				NT				NT	NT	NT			
1229	Brachypteryx leucophris				LC				LC	LC			LC				LC					
1230	Brachypteryx montana																LC	LC	LC			
1231	Brachypteryx poliogyna																LC					
1232	Brachypteryx saturata																LC					
1233	Brachypteryx sinensis																LC					
1234	Brachyramphus brevirostris				CR	CR			CR	CR	CR		CR	CR	NT		NT		NT			
1235	Brachyramphus marmoratus				EN	EN			EN		EN		EN				EN	EN	EN			
1236	Brachyramphus perdix				NT				NT		NT		NT				NT		NT			
1237	Bradornis boehmi				LC				LC	LC			LC				LC					
1238	Bradornis comitatus				LC				LC	LC			LC				LC					
1239	Bradornis fuliginosus				LC				LC	LC			LC				LC		LC			
1240	Bradornis mariquensis				LC				LC	LC			LC				LC					
1241	Bradornis microrhynchus				LC				LC	LC			LC				LC					
1242	Bradornis ussheri				LC				LC	LC			LC				LC		LC			
1243	Bradypterus alfredi				LC				LC	LC			LC				LC					
1244	Bradypterus baboecala																LC					
1245	Bradypterus bangwaensis				NT				NT				NT				NT					
1246	Bradypterus barratti				LC				LC	LC			LC				LC					
1247	Bradypterus brunneus				LC				LC	LC			LC				LC					
1248	Bradypterus carpalis				LC				LC	LC			LC				LC					
1249	Bradypterus centralis																LC	LC				
1250	Bradypterus cinnamomeus				LC				LC	LC			LC				LC					
1251	Bradypterus grandis				NT				NT				NT				NT					
1252	Bradypterus graueri				EN				EN				EN				EN					
1253	Bradypterus lopezi				LC				LC	LC			LC				LC					
1254	Bradypterus sylvaticus				VU		VU		VU				VU				VU					
1255	Branta bernicla				LC				LC	LC			LC				LC					
1256	Branta canadensis						LC		LC	LC			LC				LC		LC			
1257	Branta hutchinsii						LC		LC	LC			LC				LC					
1258	Branta leucopsis				LC				LC	LC			LC				LC		LC			
1259	Branta ruficollis				VU		VU	EN	EN				EN			VU	VU	VU				
1260	Branta sandvicensis				VU			VU	VU				VU				VU					
1261	Brotogeris chiriri				LC				LC	LC			LC				LC		LC			
1262	Brotogeris chrysoptera				LC				LC	LC			LC				LC					
1263	Brotogeris cyanoptera				LC				LC	LC			LC				LC					
1264	Brotogeris jugularis				LC				LC	LC			LC				LC					
1265	Brotogeris pyrrhoptera				EN				EN				EN	EN			EN					
1266	Brotogeris sanctithomae				LC				LC	LC			LC				LC					
1267	Brotogeris tirica				LC				LC	LC			LC				LC					
1268	Brotogeris versicolurus				LC				LC	LC			LC				LC		LC			
1269	Bubalornis albirostris				LC				LC	LC			LC				LC		LC			
1270	Bubalornis niger				LC				LC	LC			LC				LC					
1271	Bubo africanus														LC		LC					
1272	Bubo ascalaphus				LC				LC	LC			LC				LC					
1273	Bubo bengalensis				LC				LC	LC			LC				LC					
1274	Bubo blakistoni				EN	EN			EN				EN	EN			EN					
1275	Bubo bubo				LC				LC	LC			LC				LC					
1276	Bubo capensis				LC				LC	LC			LC				LC					
1277	Bubo cinerascens														LC		LC					
1278	Bubo coromandus				LC				LC	LC			LC				LC					
1279	Bubo lacteus				LC				LC	LC			LC				LC					
1280	Bubo leucostictus				LC				LC	LC			LC				LC		LC			
1281	Bubo magellanicus														LC		LC					
1282	Bubo nipalensis				LC				LC	LC			LC				LC		LC			
1283	Bubo philippensis				VU				VU				VU	VU			VU					
1284	Bubo poensis														LC		LC					
1285	Bubo scandiacus				LC				LC	LC			LC			LC	LC	VU				
1286	Bubo shelleyi				NT				NT				NT				NT		VU			
1287	Bubo sumatranus				LC				LC	LC			LC				LC					
1288	Bubo virginianus														LC		LC		LC			
1289	Bubulcus ibis				LC				LC	LC			LC		LC		LC					
1290	Bucanetes githagineus				LC				LC	LC			LC				LC	LC		LC		
1291	Bucanetes mongolicus				LC				LC	LC			LC				LC	LC	LC			
1292	Buccanodon duchaillui				LC				LC	LC			LC				LC		LC			
1293	Bucco capensis				LC				LC	LC			LC				LC					
1294	Bucephala albeola				LC				LC	LC			LC				LC					
1295	Bucephala clangula				LC				LC	LC			LC				LC		LC			
1296	Bucephala islandica				LC				LC	LC			LC				LC		LC			
1297	Buceros bicornis				NT				NT				NT	NT		NT	NT	NT	VU			
1298	Buceros hydrocorax														VU		VU					
1299	Buceros mindanensis														VU		VU					
1300	Buceros rhinoceros				NT				NT				NT				NT		VU			
1301	Bucorvus abyssinicus				LC				LC	LC			LC				LC		VU			
1302	Bucorvus leadbeateri				LC				LC	LC	VU		VU				VU					
1303	Buettikoferella bivittata				LC				LC	LC			LC				LC					
1304	Bugeranus carunculatus				VU		VU		VU				VU	VU			VU		VU			
1305	Bulweria bulwerii				LC				LC	LC			LC				LC		LC			
1306	Bulweria fallax				NT				NT		NT		NT			NT	NT	NT	NT			
1307	Buphagus africanus				LC				LC	LC			LC				LC		LC			
1308	Buphagus erythrorynchus				LC				LC	LC			LC				LC		LC			
1309	Burhinus bistriatus				LC				LC	LC			LC				LC					
1310	Burhinus capensis				LC				LC	LC			LC				LC					
1311	Burhinus grallarius				NT			NT	NT				LC				LC					
1312	Burhinus indicus														LC		LC					
1313	Burhinus oedicnemus														LC		LC		LC			
1314	Burhinus senegalensis				LC				LC	LC			LC				LC					
1315	Burhinus superciliaris				LC				LC	LC			LC				LC					
1316	Burhinus vermiculatus				LC				LC	LC			LC				LC					
1317	Busarellus nigricollis				LC				LC	LC			LC				LC					
1318	Butastur indicus				LC				LC	LC			LC	LC	LC	LC	LC					
1319	Butastur liventer				LC				LC	LC			LC				LC	LC				
1320	Butastur rufipennis				LC				LC	LC			LC			LC	LC					
1321	Butastur teesa				LC				LC	LC			LC				LC					
1322	Buteo albigula				LC				LC	LC			LC				LC		LC			
1323	Buteo albonotatus				LC				LC	LC			LC				LC					
1324	Buteo augur					LC			LC	LC			LC				LC					
1325	Buteo auguralis				LC				LC	LC			LC			LC	LC					
1326	Buteo brachypterus				LC				LC	LC			LC				LC					
1327	Buteo brachyurus				LC				LC	LC			LC				LC					
1328	Buteo buteo														LC	LC	LC	LC				
1329	Buteo galapagoensis				VU		VU		VU				VU				VU					
1330	Buteo hemilasius				LC				LC	LC			LC			LC	LC		LC			
1331	Buteo jamaicensis				LC				LC	LC			LC				LC					
1332	Buteo japonicus														LC	LC	LC					
1333	Buteo lagopus				LC				LC	LC			LC	LC		LC	LC					
1334	Buteo lineatus				LC				LC	LC			LC				LC					
1335	Buteo nitidus														LC		LC					
1336	Buteo oreophilus														NT		NT					
1337	Buteo plagiatus														LC		LC					
1338	Buteo platypterus				LC				LC	LC			LC				LC					
1339	Buteo refectus														LC	LC	LC					
1340	Buteo regalis				NT				LC	LC			LC				LC					
1341	Buteo ridgwayi				CR				CR	CR	CR		CR	CR		CR	CR		CR			
1342	Buteo rufinus											LC	LC	LC		LC	LC	LC		LC		
1343	Buteo rufofuscus				LC				LC	LC			LC				LC					
1344	Buteo socotraensis											VU	VU		VU		VU					
1345	Buteo solitarius				NT				NT				NT				NT					
1346	Buteo swainsoni				LC				LC	LC			LC				LC					
1347	Buteo trizonatus														LC		LC	NT				
1348	Buteo ventralis				NT				NT				NT			VU	VU					
1349	Buteogallus aequinoctialis				LC				LC	LC			LC	NT	NT		NT		NT			
1350	Buteogallus anthracinus									LC			LC				LC					
1351	Buteogallus coronatus				EN				EN				EN				EN					
1352	Buteogallus gundlachii								NT				NT				NT			NT		
1353	Buteogallus lacernulatus				VU				VU				VU				VU					
1354	Buteogallus meridionalis				LC				LC	LC			LC				LC					
1355	Buteogallus schistaceus				LC				LC	LC			LC				LC					
1356	Buteogallus solitarius				NT				NT				NT				NT					
1357	Buteogallus urubitinga				LC				LC	LC			LC				LC					
1358	Buthraupis montana				LC				LC	LC			LC				LC					
1359	Butorides striata														LC		LC					
1360	Bycanistes albotibialis				LC				LC	LC			LC				LC					
1361	Bycanistes brevis				LC				LC	LC			LC				LC		LC			
1362	Bycanistes bucinator				LC				LC	LC			LC				LC		LC			
1363	Bycanistes cylindricus				NT				NT				VU				VU		VU			
1364	Bycanistes fistulator														LC		LC		LC			
1365	Bycanistes sharpii														LC		LC					
1366	Bycanistes subcylindricus				LC				LC	LC			LC				LC	LC				
1367	Cacatua alba				VU			VU	VU				VU	EN			EN		EN			
1368	Cacatua ducorpsii				LC				LC	LC			LC				LC		LC			
1369	Cacatua galerita				LC				LC	LC			LC				LC		LC			
1370	Cacatua goffiniana				NT				NT				NT				NT		NT			
1371	Cacatua haematuropygia				CR				CR	CR			CR	CR		CR	CR	CR				
1372	Cacatua leadbeateri				LC				LC	LC			LC				LC		LC			
1373	Cacatua moluccensis				VU				VU				VU	VU			VU					
1374	Cacatua ophthalmica				LC				VU				VU				VU		VU			
1375	Cacatua pastinator				LC				LC	LC			LC				LC					
1376	Cacatua sanguinea				LC				LC	LC			LC				LC		LC			
1377	Cacatua sulphurea				CR				CR	CR	CR		CR	CR		CR	CR	CR	CR			
1378	Cacatua tenuirostris				LC				LC	LC			LC				LC					
1379	Cacicus cela																LC					
1380	Cacicus chrysonotus				LC												LC	LC				
1381	Cacicus chrysopterus				LC				LC	LC			LC				LC		LC			
1382	Cacicus flavicrissus																LC		LC			
1383	Cacicus haemorrhous				LC				LC	LC			LC				LC					
1384	Cacicus koepckeae				VU				VU				EN				EN	EN				
1385	Cacicus latirostris				LC				LC	LC			LC				LC					
1386	Cacicus leucoramphus				LC												LC	LC				
1387	Cacicus microrhynchus																LC	LC				
1388	Cacicus oseryi				LC				LC	LC			LC				LC		LC			
1389	Cacicus pacificus																LC					
1390	Cacicus sclateri				LC				LC	LC			LC				LC					
1391	Cacicus solitarius				LC				LC	LC			LC				LC					
1392	Cacicus uropygialis																LC	LC				
1393	Cacomantis aeruginosus				NT				NT				NT		NT		NT	LC				
1394	Cacomantis castaneiventris				LC				LC	LC			LC				LC					
