	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
1536	Episoriculus leucops								LC								LC				
1537	Episoriculus macrurus								LC								LC				
1538	Epixerus ebii				DD				LC								LC				
1539	Epomophorus angolensis				NT				NT								NT				
1540	Epomophorus anselli								DD								DD				
1541	Epomophorus crypturus				LC				LC								LC				
1542	Epomophorus gambianus				LC				LC								LC				
1543	Epomophorus grandis				DD				DD								DD				
1544	Epomophorus labiatus																LC				
1545	Epomophorus minimus				LC				LC								LC				
1546	Epomophorus minor																LC				
1547	Epomophorus wahlbergi				LC				LC								LC				
1548	Epomops buettikoferi				LC				LC								LC				
1549	Epomops dobsonii				LC				LC								LC				
1550	Epomops franqueti				LC				LC								LC				LC
1551	Eptesicus andinus								LC								LC				
1552	Eptesicus bobrinskoi								LC											DD	
1553	Eptesicus bottae				LC				LC												
1554	Eptesicus brasiliensis								LC								LC				
1555	Eptesicus chiriquinus								LC											LC	
1556	Eptesicus diminutus								DD								LC				
1557	Eptesicus dimissus								DD								DD				
1558	Eptesicus floweri				VU				LC									LC			
1559	Eptesicus furinalis								LC								LC				
1560	Eptesicus fuscus								LC								LC				
1561	Eptesicus gobiensis								LC											LC	
1562	Eptesicus guadeloupensis								VU								EN				
1563	Eptesicus hottentotus				LC				LC									LC			
1564	Eptesicus innoxius								NT								NT				NT
1565	Eptesicus isabellinus																LC				
1566	Eptesicus japonensis								EN												
1567	Eptesicus kobayashii								DD											DD	
1568	Eptesicus lobatus																			DD	
1569	Eptesicus nilssonii								LC								LC				
1570	Eptesicus pachyomus																			LC	
1571	Eptesicus pachyotis								LC											LC	
1572	Eptesicus platyops				DD				DD											DD	
1573	Eptesicus serotinus								LC												
1574	Eptesicus taddeii																	DD			
1575	Eptesicus tatei				DD				DD								DD				
1576	Equus africanus								CR							CR					
1577	Equus ferus								CR			EN				EN					
1578	Equus grevyi								EN					EN			EN				
1579	Equus hemionus		VU						EN							NT					
1580	Equus kiang								LC							LC					
1581	Equus quagga		LC						LC								NT				
1582	Equus zebra								VU											VU	
1583	Eremitalpa granti						NT		LC							LC					
1584	Eremodipus lichtensteini								LC								LC				
1585	Eremoryzomys polius								DD											DD	
1586	Erethizon dorsatum								LC								LC				
1587	Erignathus barbatus								LC								LC				
1588	Erinaceus amurensis								LC								LC				
1589	Erinaceus concolor								LC								LC				
1590	Erinaceus europaeus								LC								LC				
1591	Erinaceus roumanicus								LC								LC				
1592	Eropeplus canus								VU								VU				
1593	Erophylla bombifrons								LC											LC	
1594	Erophylla sezekorni								LC											LC	
1595	Erythrocebus patas								LC												
1596	Eschrichtius robustus								CR										EN		
1597	Eubalaena australis								CR					CR					CR		
1598	Eubalaena glacialis								EN				EN						EN		
1599	Eubalaena japonica								CR										CR		
1600	Euchoreutes naso								LC								LC				
1601	Euderma maculatum								LC									LC			
1602	Eudiscoderma thongareeae																	CR			
1603	Eudiscopus denticulus								DD								LC				
1604	Eudorcas albonotata								LC								LC				
1605	Eudorcas rufifrons								VU									VU			
1606	Eudorcas thomsonii								NT										LC		
1607	Eudorcas tilonura								VU									EN			
1608	Eulemur albifrons								VU						EN						
1609	Eulemur cinereiceps								EN						CR						
1610	Eulemur collaris								VU						EN						
1611	Eulemur coronatus								VU						EN						
1612	Eulemur flavifrons								EN			CR			CR						
1613	Eulemur fulvus								NT						NT						
1614	Eulemur macaco								VU			VU			VU						
1615	Eulemur mongoz								VU						CR						
1616	Eulemur rubriventer								VU						VU						
1617	Eulemur rufifrons								NT						NT						
1618	Eulemur rufus								DD						VU						
1619	Eulemur sanfordi								EN						EN						
1620	Eumetopias jubatus								EN				NT				NT				
1621	Eumops auripendulus								LC							LC					
1622	Eumops bonariensis																LC				
1623	Eumops dabbenei								LC							LC					
1624	Eumops delticus																		DD		
1625	Eumops ferox																			LC	
1626	Eumops floridanus								CR								VU				
1627	Eumops glaucinus																LC				
1628	Eumops hansae								LC							LC					
1629	Eumops maurus								DD								DD				
1630	Eumops nanus																	LC			
1631	Eumops patagonicus								LC							LC					
1632	Eumops perotis								LC							LC					
1633	Eumops trumbulli								LC											LC	
1634	Eumops underwoodi								LC								LC				
1635	Eumops wilsoni																DD				
1636	Euneomys chinchilloides								DD											DD	
1637	Euneomys fossor								DD											DD	
1638	Euneomys mordax								LC								LC				
1639	Euneomys petersoni								LC								LC				
1640	Euoticus elegantulus								LC											LC	
1641	Euoticus pallidus								LC												
1642	Eupetaurus cinereus								DD		EN										
1643	Euphractus sexcinctus						LC		LC		LC				LC						
1644	Eupleres goudotii																VU				
1645	Eupleres major																EN				
1646	Euroscaptor grandis								LC								LC				
1647	Euroscaptor klossi								LC								LC				
1648	Euroscaptor longirostris								LC								LC				
1649	Euroscaptor micrura								LC								LC				
1650	Euroscaptor mizura								LC								LC				
1651	Euroscaptor parvidens								DD								DD				
1652	Euroscaptor subanura																DD				
1653	Euryoryzomys emmonsae								DD											DD	
1654	Euryoryzomys lamia								EN										VU		
1655	Euryoryzomys legatus								LC								LC				
1656	Euryoryzomys macconnelli								LC								LC				
1657	Euryoryzomys nitidus								LC								LC				
1658	Euryoryzomys russatus								LC								LC				
1659	Euryzygomatomys spinosus								LC								LC				
1660	Eutamias sibiricus								LC								LC				
1661	Exilisciurus concinnus								LC								LC				
1662	Exilisciurus exilis								DD								DD				
1663	Exilisciurus whiteheadi								LC								LC				
1664	Falsistrellus mackenziei								NT									NT			
1665	Falsistrellus mordax								DD								DD				
1666	Falsistrellus petersi								DD								DD				
1667	Falsistrellus tasmaniensis								LC												
1668	Felis bieti		VU						VU		VU					VU					
1669	Felis chaus		LC						LC								LC				
1670	Felis margarita		NT						NT			NT					LC				
1671	Felis nigripes		VU						VU								VU				
1672	Felis silvestris															LC					
1673	Felovia vae				DD				DD									LC			
1674	Feresa attenuata								DD										LC		
1675	Feroculus feroculus								EN												
1676	Fossa fossana								NT							VU					
1677	Fukomys anselli				NT				NT												
1678	Fukomys bocagei				DD				LC								LC				
1679	Fukomys damarensis				LC				LC								LC				
1680	Fukomys darlingi				LC				LC								LC				
1681	Fukomys foxi				DD				DD											DD	
1682	Fukomys ilariae																			DD	
1683	Fukomys kafuensis				VU				VU												
1684	Fukomys mechowii				LC				LC								LC				
1685	Fukomys ochraceocinereus				DD				LC								LC				
1686	Fukomys vandewoestijneae																			DD	
1687	Fukomys zechi				LC				LC								LC				
1688	Funambulus layardi								VU								VU				
1689	Funambulus palmarum								LC								LC				
1690	Funambulus pennantii								LC								LC				
1691	Funambulus sublineatus								VU												
1692	Funambulus tristriatus								LC								LC				
1693	Funisciurus anerythrus				DD				LC								LC				
1694	Funisciurus bayonii				DD				DD								DD				
1695	Funisciurus carruthersi				LC				LC								LC				
1696	Funisciurus congicus				LC				LC								LC				
1697	Funisciurus duchaillui								DD								DD				
1698	Funisciurus isabella				LC				LC								LC				
1699	Funisciurus lemniscatus				DD				LC								LC				
1700	Funisciurus leucogenys				DD				LC								LC				
1701	Funisciurus pyrropus				LC				LC								LC				
1702	Funisciurus substriatus				DD				DD								DD				
1703	Furipterus horrens								LC								LC				
1704	Galago gallarum								LC											LC	
1705	Galago matschiei								LC											LC	
1706	Galago moholi								LC											LC	
1707	Galago senegalensis								LC											LC	
1708	Galagoides demidoff								LC								LC			LC	
1709	Galagoides thomasi								LC											LC	
1710	Galea comes																DD				
1711	Galea flavidens								LC								LC				
1712	Galea leucoblephara																LC				
1713	Galea musteloides																DD				
1714	Galea spixii								LC								LC				
1715	Galemys pyrenaicus								VU												
1716	Galenomys garleppi								DD											DD	
1717	Galeopterus variegatus								LC												
1718	Galictis cuja								LC								LC				
1719	Galictis vittata								LC								LC				
1720	Galidia elegans								LC							LC					
1721	Galidictis fasciata								NT								VU				
1722	Galidictis grandidieri								EN							EN					
1723	Gardnerycteris crenulatum								LC							LC				LC	
1724	Gardnerycteris koepckeae								DD							DD				DD	
1725	Gazella arabica																	VU			
1726	Gazella bennettii			LC					LC									LC			
1727	Gazella cuvieri							EN	EN								VU				
1728	Gazella dorcas							VU	VU									VU			
1729	Gazella gazella			EN														EN			
1730	Gazella leptoceros							EN	EN								EN				
1731	Gazella marica			VU					VU									VU			
1732	Gazella spekei							EN	EN								EN				
1733	Gazella subgutturosa			NT			VU		VU									VU			
1734	Genetta abyssinica								LC								DD				
1735	Genetta angolensis								LC								LC				
1736	Genetta bourloni								NT							VU					
1737	Genetta cristata								VU							VU					
1738	Genetta genetta								LC							LC					
1739	Genetta johnstoni								VU								NT				
1740	Genetta maculata								LC								LC				
1741	Genetta pardina								LC								LC				
1742	Genetta piscivora								DD							NT					
1743	Genetta poensis								DD							DD					
1744	Genetta servalina								LC							LC	LC				
1745	Genetta thierryi								LC							LC					
1746	Genetta tigrina								LC							LC					
1747	Genetta victoriae								LC								LC				
1748	Geocapromys brownii								VU										EN		
1749	Geocapromys ingrahami								VU												
1750	Geogale aurita						LC		LC							LC	LC				
1751	Geomys arenarius								NT											NT	
1752	Geomys attwateri								LC								LC				
1753	Geomys breviceps								LC								LC				
1754	Geomys bursarius								LC								LC				
1755	Geomys knoxjonesi								LC								LC				
1756	Geomys personatus								LC								LC				
1757	Geomys pinetis								LC								LC				
1758	Geomys texensis								LC								LC				
1759	Geomys tropicalis								CR										EN		
1760	Georychus capensis				LC				LC								LC	LC			
1761	Geoxus annectens		DD						VU										VU		
1762	Geoxus valdivianus								LC								LC				
1763	Gerbilliscus afra			LC	LC				LC								LC				
1764	Gerbilliscus boehmi				LC				LC								LC				
1765	Gerbilliscus brantsii				LC				LC								LC				
1766	Gerbilliscus gambiana				LC				LC									LC			
1767	Gerbilliscus guineae				LC				LC								LC				
1768	Gerbilliscus inclusus				LC				LC								LC				
1769	Gerbilliscus kempi				LC				LC											LC	
1770	Gerbilliscus leucogaster				LC				LC								LC				
1771	Gerbilliscus nigricaudus				LC				LC									LC			
1772	Gerbilliscus phillipsi				LC				LC								LC				
1773	Gerbilliscus robustus				LC				LC								LC				
1774	Gerbilliscus validus				LC				LC								LC				
1775	Gerbillurus paeba				LC				LC								LC				
1776	Gerbillurus setzeri				LC				LC								LC				
1777	Gerbillurus tytonis				LC				LC								LC				
1778	Gerbillurus vallinus				LC				LC								LC				
1779	Gerbillus acticola				DD				DD									DD			
1780	Gerbillus agag				DD				DD									DD			
1781	Gerbillus amoenus				DD				LC								LC				
1782	Gerbillus andersoni								LC								LC				
1783	Gerbillus aquilus								LC								LC				
1784	Gerbillus bottai				DD				DD									DD			
1785	Gerbillus brockmani				DD				DD									DD			
1786	Gerbillus burtoni				DD				DD									DD			
1787	Gerbillus campestris				LC				LC								LC				
1788	Gerbillus cheesmani								LC								LC				
1789	Gerbillus cosensis				DD				DD								DD				
1790	Gerbillus dasyurus								LC								LC				
1791	Gerbillus dunni				DD				LC								LC				
1792	Gerbillus famulus								LC									LC			
1793	Gerbillus floweri				LC				LC												
1794	Gerbillus gerbillus				LC				LC								LC				
1795	Gerbillus gleadowi								NT		LC						LC				
1796	Gerbillus grobbeni				DD				DD									DD			
1797	Gerbillus harwoodi				LC				LC								LC				
1798	Gerbillus henleyi				LC				LC								LC				
1799	Gerbillus hesperinus				VU				EN											EN	
1800	Gerbillus hoogstraali				NT				VU										VU		
1801	Gerbillus jamesi				DD				DD									DD			
1802	Gerbillus juliani				LC				LC									LC			
1803	Gerbillus latastei				DD				LC											DD	
1804	Gerbillus lowei				DD				DD									DD			
1805	Gerbillus mackilligini				LC				LC								LC				
1806	Gerbillus maghrebi				LC				LC												
1807	Gerbillus mesopotamiae								LC								LC				
1808	Gerbillus muriculus				LC				DD									DD			
1809	Gerbillus nancillus				DD				DD									DD			
1810	Gerbillus nanus				LC				LC								LC				
1811	Gerbillus nigeriae				LC				LC								LC				
1812	Gerbillus occiduus				DD				DD									DD			
1813	Gerbillus percivali								DD								DD				
1814	Gerbillus perpallidus				LC				LC												
1815	Gerbillus poecilops								LC									LC			
1816	Gerbillus principulus				DD				DD									DD			
1817	Gerbillus pulvinatus				LC				LC								LC				
1818	Gerbillus pusillus				LC				LC											LC	
1819	Gerbillus pyramidum				LC				LC								LC				
1820	Gerbillus rosalinda				DD				LC								LC				
1821	Gerbillus rupicola				DD				LC									LC			
1822	Gerbillus simoni				LC				LC								LC				
1823	Gerbillus somalicus				DD				DD									DD			
1824	Gerbillus stigmonyx				DD				DD									DD			
1825	Gerbillus tarabuli				LC				LC								LC				
1826	Gerbillus watersi				LC				LC								LC				
1827	Giraffa camelopardalis								LC		LC						VU		VU		
1828	Glaucomys sabrinus								LC								LC				
1829	Glaucomys volans								LC								LC				
1830	Glauconycteris alboguttata				DD				LC									LC			
1831	Glauconycteris argentata				LC				LC									LC			
1832	Glauconycteris beatrix				NT				LC									LC			
1833	Glauconycteris curryae				DD				DD											DD	
1834	Glauconycteris egeria				DD				DD											DD	
1835	Glauconycteris gleni				VU				DD											DD	
1836	Glauconycteris humeralis				DD				DD											DD	
1837	Glauconycteris kenyacola				DD				DD											DD	
1838	Glauconycteris machadoi				DD				DD											DD	
1839	Glauconycteris poensis				LC				LC									LC			
1840	Glauconycteris superba				VU				LC									LC			
1841	Glauconycteris variegata				LC				LC									LC			
1842	Glironia venusta								LC								LC				
1843	Glirulus japonicus								LC								LC				
1844	Glis glis								LC								LC				
1845	Glischropus bucephalus																			LC	
1846	Glischropus javanus								DD								DD				
1847	Glischropus tylopus								LC												
1848	Globicephala macrorhynchus								DD			DD							LC		
1849	Globicephala melas								DD				DD						LC		
1850	Glossophaga commissarisi								LC								LC				
1851	Glossophaga leachii								LC								LC				
1852	Glossophaga longirostris								DD										LC		
1853	Glossophaga morenoi								LC							LC					
1854	Glossophaga soricina								LC							LC					
1855	Glyphonycteris behnii								DD								DD				
1856	Glyphonycteris daviesi								LC										LC		
1857	Glyphonycteris sylvestris								LC										LC		
1858	Glyphotes simus								DD								DD				
1859	Golunda ellioti								LC								LC				
1860	Gorilla beringei								EN								CR			CR	
1861	Gorilla gorilla							CR	CR								CR		CR		
1862	Gracilimus radix																			DD	
1863	Gracilinanus aceramarcae								LC								LC				
1864	Gracilinanus agilis								LC			LC				LC					
1865	Gracilinanus dryas								NT			NT					LC				
1866	Gracilinanus emiliae								DD								DD				
1867	Gracilinanus marica								LC			LC					LC				
1868	Gracilinanus microtarsus								LC							LC					
1869	Grammomys aridulus				NT				DD											DD	
1870	Grammomys brevirostris																			DD	
1871	Grammomys buntingi				DD				DD											DD	
1872	Grammomys caniceps				DD				DD								DD				
1873	Grammomys cometes				LC				LC								LC				
1874	Grammomys dolichurus				LC				LC								LC				
1875	Grammomys dryas				NT				NT											LC	
1876	Grammomys gigas				EN				EN								EN				
1877	Grammomys ibeanus				LC				LC								LC				
1878	Grammomys kuru				LC				LC								LC				
1879	Grammomys macmillani				LC				LC								LC				
1880	Grammomys minnae				VU				VU								VU				
1881	Grammomys selousi																LC				
1882	Grampus griseus								LC				DD						LC		
1883	Graomys chacoensis																			DD	
1884	Graomys domorum								LC								LC				
1885	Graomys edithae								DD											DD	
1886	Graomys griseoflavus								LC								LC				
1887	Graphiurus angolensis				DD				DD									DD			
1888	Graphiurus christyi				DD				LC								LC				
1889	Graphiurus crassicaudatus				DD				DD								DD				
1890	Graphiurus johnstoni				DD				DD								DD				
1891	Graphiurus kelleni				DD				LC							LC	LC				
1892	Graphiurus lorraineus				LC				LC								LC				
1893	Graphiurus microtis				LC				LC								LC				
1894	Graphiurus monardi				DD				DD								DD				
1895	Graphiurus murinus				LC				LC								LC				
1896	Graphiurus nagtglasii				LC				LC								LC				
1897	Graphiurus ocularis			LC	LC				LC								LC				
1898	Graphiurus platyops				LC				LC								LC				
1899	Graphiurus rupicola				LC				LC								LC				
1900	Graphiurus surdus		DD		DD				DD								DD				
1901	Graphiurus walterverheyeni																			DD	DD
1902	Gulo gulo								NT	LC							LC				
1903	Gyldenstolpia fronto								EN										EX	EX	EX
1904	Gymnobelideus leadbeateri								EN								CR				
1905	Gymnuromys roberti								LC								LC				
1906	Habromys chinanteco								CR										CR		
1907	Habromys delicatulus								CR									EN			
1908	Habromys ixtlani								CR										CR		
1909	Habromys lepturus								CR										CR		
1910	Habromys lophurus								NT											NT	
1911	Habromys schmidlyi								CR										CR		
1912	Habromys simulatus								EN										CR		
1913	Hadromys humei								EN								EN				
1914	Hadromys yunnanensis								DD								DD				
1915	Haeromys margarettae								DD								DD				
1916	Haeromys minahassae								VU												
1917	Haeromys pusillus								VU								VU				
1918	Halichoerus grypus								LC								LC				
1919	Halmaheramys bokimekot																			DD	DD
1920	Handleyomys alfaroi								LC								LC				
1921	Handleyomys chapmani								LC										VU		
1922	Handleyomys fuscatus								LC								LC				
1923	Handleyomys intectus								LC								LC				
1924	Handleyomys melanotis								LC								LC				
1925	Handleyomys rhabdops								VU											EN	
1926	Handleyomys rostratus								LC								LC				
1927	Handleyomys saturatior								NT												
1928	Hapalemur alaotrensis								CR						CR						
1929	Hapalemur aureus								EN						CR						
1930	Hapalemur griseus								VU						VU						
1931	Hapalemur meridionalis								VU						VU						
1932	Hapalemur occidentalis								VU						VU						
1933	Hapalomys delacouri								VU												
1934	Hapalomys longicaudatus								EN								EN				
1935	Haplonycteris fischeri								LC												
1936	Harpiocephalus harpia																			LC	
1937	Harpiola grisea				CR				DD								DD				
1938	Harpiola isodon								DD												
1939	Harpyionycteris celebensis								VU												
1940	Harpyionycteris whiteheadi								LC												
1941	Heimyscus fumosus				LC				LC								LC				
1942	Helarctos malayanus								VU									VU			
1943	Heliophobius argenteocinereus				LC				LC								LC				
1944	Heliosciurus gambianus				LC				LC								LC				
1945	Heliosciurus mutabilis				LC				LC								LC				
1946	Heliosciurus punctatus				DD				DD								DD				
1947	Heliosciurus rufobrachium				LC				LC								LC				
1948	Heliosciurus ruwenzorii				LC				LC								LC				
1949	Heliosciurus undulatus				DD				DD								DD				
1950	Helogale hirtula								LC							LC					
1951	Helogale parvula								LC							LC					
1952	Hemibelideus lemuroides								NT											NT	
1953	Hemicentetes nigriceps						LC		LC							LC	LC				
1954	Hemicentetes semispinosus						LC		LC							LC	LC				
1955	Hemiechinus auritus								LC								LC				
1956	Hemiechinus collaris								LC								LC				
1957	Hemigalus derbyanus								VU							NT					
1958	Hemitragus jemlahicus								NT												
1959	Herpailurus yagouaroundi		LC						LC							LC					
1960	Herpestes auropunctatus																LC				
1961	Herpestes brachyurus								LC								NT				
1962	Herpestes edwardsii								LC			LC					LC				
1963	Herpestes flavescens								LC							LC					
1964	Herpestes fuscus								VU							LC					
1965	Herpestes ichneumon								LC								LC				
1966	Herpestes javanicus																LC				
1967	Herpestes naso								LC							LC					
1968	Herpestes ochraceus								LC							LC					
1969	Herpestes pulverulentus								LC							LC					
1970	Herpestes sanguineus								LC								LC				
1971	Herpestes semitorquatus								DD							NT					
1972	Herpestes smithii								LC								LC				
1973	Herpestes urva								LC							LC					
1974	Herpestes vitticollis								LC								LC				
1975	Hesperoptenus blanfordi								LC											LC	
1976	Hesperoptenus doriae								DD												
1977	Hesperoptenus gaskelli								DD												
1978	Hesperoptenus tickelli								LC											LC	
1979	Hesperoptenus tomesi								VU												
1980	Heterocephalus glaber				LC				LC								LC				
1981	Heterogeomys cherriei																LC				
1982	Heterogeomys dariensis																LC				
1983	Heterogeomys lanius								CR									CR			
1984	Heterohyrax brucei						LC		LC							LC					
1985	Heteromys adspersus								LC								LC				
1986	Heteromys anomalus								LC												
1987	Heteromys australis								LC								LC				
1988	Heteromys catopterius																			LC	
1989	Heteromys desmarestianus																LC				
1990	Heteromys gaumeri								LC								LC				
1991	Heteromys irroratus								LC								LC				
1992	Heteromys nelsoni								EN										EN		
1993	Heteromys oasicus								EN										EN		
1994	Heteromys oresterus								LC								LC				
1995	Heteromys pictus								LC								LC				
1996	Heteromys salvini								LC								LC				
1997	Heteromys spectabilis								EN										EN		
1998	Heteromys teleus								VU										VU		
1999	Hippocamelus antisensis								VU									VU			
2000	Hippocamelus bisulcus								EN								EN				
2001	Hippopotamus amphibius						VU		VU									VU			
2002	Hipposideros abae				NT				LC									LC			
2003	Hipposideros alongensis																			VU	
2004	Hipposideros armiger								LC												
2005	Hipposideros ater								LC												
2006	Hipposideros atrox																			LC	LC
2007	Hipposideros beatus				LC				LC									LC			
2008	Hipposideros bicolor								LC												
2009	Hipposideros boeadii								DD								DD				
2010	Hipposideros breviceps								DD								DD				
2011	Hipposideros caffer				LC				LC												
2012	Hipposideros calcaratus								LC												
2013	Hipposideros camerunensis				DD				DD											DD	
2014	Hipposideros cervinus								LC												
2015	Hipposideros cineraceus								LC											LC	
2016	Hipposideros commersoni								NT											NT	
2017	Hipposideros coronatus								DD								DD				
2018	Hipposideros corynophyllus								DD									LC			
2019	Hipposideros coxi								DD								EN				
2020	Hipposideros crumeniferus								DD								DD				
2021	Hipposideros curtus				VU				VU												
2022	Hipposideros cyclops				LC				LC									LC			
2023	Hipposideros demissus								VU												
2024	Hipposideros diadema								LC												
2025	Hipposideros dinops								DD												
2026	Hipposideros doriae								NT												
2027	Hipposideros durgadasi				EN				EN								VU				
2028	Hipposideros dyacorum								LC												
2029	Hipposideros edwardshilli								DD									VU			
2030	Hipposideros einnaythu																			DD	
2031	Hipposideros fuliginosus				NT				LC									LC			
2032	Hipposideros fulvus								LC											LC	
2033	Hipposideros galeritus								LC											LC	
2034	Hipposideros gigas				LC				LC									LC			
2035	Hipposideros grandis								DD								LC				
2036	Hipposideros griffini																			NT	
2037	Hipposideros halophyllus								EN								VU				
2038	Hipposideros hypophyllus				EN				EN								CR				
2039	Hipposideros inexpectatus								DD								DD				
2040	Hipposideros inornatus								VU												
2041	Hipposideros jonesi				NT				NT												
2042	Hipposideros khaokhouayensis								VU											VU	VU
2043	Hipposideros khasiana																			DD	
2044	Hipposideros lamottei				CR				CR												
2045	Hipposideros lankadiva				LC				LC											LC	
2046	Hipposideros larvatus								LC												
2047	Hipposideros lekaguli								NT											NT	
2048	Hipposideros lylei								LC											LC	
2049	Hipposideros macrobullatus								DD								DD				
2050	Hipposideros madurae								LC												
2051	Hipposideros maggietaylorae								LC												
2052	Hipposideros marisae				EN				VU												
2053	Hipposideros megalotis				NT				LC									LC			
2054	Hipposideros muscinus								DD									LC			
2055	Hipposideros nequam								DD								DD				
2056	Hipposideros obscurus								LC											LC	
2057	Hipposideros orbiculus								EN								VU				
2058	Hipposideros papua								LC												
2059	Hipposideros pelingensis								NT												
2060	Hipposideros pendlebury																			VU	
2061	Hipposideros pomona								LC											LC	
2062	Hipposideros pratti								LC											LC	
2063	Hipposideros pygmaeus								LC											LC	
2064	Hipposideros ridleyi								VU												
2065	Hipposideros rotalis								LC											LC	
2066	Hipposideros ruber				LC				LC									LC			
2067	Hipposideros scutinares								VU											VU	
2068	Hipposideros semoni								DD									LC			
2069	Hipposideros sorenseni								VU												
2070	Hipposideros speoris				LC				LC											LC	
2071	Hipposideros stenotis								LC												
2072	Hipposideros sumbae								LC												
2073	Hipposideros tephrus																	LC			
2074	Hipposideros thomensis				NT				LC									LC			
2075	Hipposideros turpis																			EN	
2076	Hipposideros vittatus								NT												
2077	Hipposideros wollastoni								LC									LC			
2078	Hippotragus equinus								LC									LC			
2079	Hippotragus niger								LC									LC			
2080	Histiotus alienus								DD								DD				
2081	Histiotus humboldti								DD								DD				
2082	Histiotus laephotis								NT											LC	
2083	Histiotus macrotus								LC								LC				
2084	Histiotus magellanicus								LC								LC				
2085	Histiotus montanus								LC								LC				
2086	Histiotus velatus								DD								DD				
2087	Histriophoca fasciata								DD								LC				
2088	Hodomys alleni								LC								LC				
2089	Holochilus brasiliensis								LC								LC				
2090	Holochilus chacarius								LC								LC				
2091	Holochilus sciureus								LC								LC				
2092	Homo sapiens								LC												
2093	Hoolock hoolock								EN											EN	
2094	Hoolock leuconedys																			VU	
2095	Hoolock tianxing																			EN	
2096	Hoplomys gymnurus								LC								LC				
2097	Huetia leucorhina						DD		DD							DD					
2098	Hyaena hyaena								NT							NT					
2099	Hybomys badius																			EN	
2100	Hybomys basilii				EN				EN								EN				
2101	Hybomys eisentrauti																			EN	
2102	Hybomys lunaris				VU				VU								VU				
2103	Hybomys planifrons				LC				LC								LC				
2104	Hybomys trivirgatus				LC				LC								LC				
2105	Hybomys univittatus				LC				LC								LC				
2106	Hydrictis maculicollis				LC				LC							NT					
2107	Hydrochoerus hydrochaeris								LC								LC				
2108	Hydrochoerus isthmius								DD								DD				
2109	Hydromys chrysogaster								LC								LC				
2110	Hydromys hussoni								DD									DD			
2111	Hydromys neobritannicus								DD								DD				
2112	Hydromys ziegleri								DD								DD				
2113	Hydropotes inermis								VU							VU					
2114	Hydrurga leptonyx								LC							LC					
2115	Hyemoschus aquaticus								LC								LC				
2116	Hyladelphys kalinowskii								LC								LC				
2117	Hylaeamys acritus								DD											DD	
2118	Hylaeamys laticeps								NT											VU	
2119	Hylaeamys megacephalus								LC								LC				
2120	Hylaeamys oniscus								VU									NT			
2121	Hylaeamys perenensis								LC								LC				
2122	Hylaeamys tatei								DD											DD	
2123	Hylaeamys yunganus								LC								LC				
2124	Hylobates abbotti								EN												
2125	Hylobates agilis								EN												
2126	Hylobates albibarbis								EN												
2127	Hylobates funereus								EN												
2128	Hylobates klossii								EN												
2129	Hylobates lar								EN												
2130	Hylobates moloch								EN												
2131	Hylobates muelleri								EN												
2132	Hylobates pileatus								EN												
2133	Hylochoerus meinertzhageni								LC								LC				
2134	Hylomys megalotis								DD								DD				
2135	Hylomys parvus								VU										VU		
2136	Hylomys suillus								LC								LC				
2137	Hylomyscus aeta				LC				LC											LC	
2138	Hylomyscus alleni				LC				LC								LC				
2139	Hylomyscus anselli																	LC			
2140	Hylomyscus arcimontensis																	LC			
2141	Hylomyscus baeri				EN				EN								EN				
2142	Hylomyscus carillus				LC				LC								LC				
2143	Hylomyscus denniae																	LC			
2144	Hylomyscus endorobae																			LC	
2145	Hylomyscus grandis				CR				CR										EN		
2146	Hylomyscus heinrichorum																			DD	
2147	Hylomyscus kerbispeterhansi																			LC	
2148	Hylomyscus pamfi																DD				
2149	Hylomyscus parvus				LC				LC								LC				
2150	Hylomyscus stella																	LC			
2151	Hylomyscus vulcanorum																			LC	
2152	Hylomyscus walterverheyeni																LC				
2153	Hylonycteris underwoodi								LC								LC				
2154	Hylopetes alboniger								LC								LC				
2155	Hylopetes bartelsi								DD								DD				
2156	Hylopetes nigripes								NT											NT	
2157	Hylopetes phayrei								LC								LC				
2158	Hylopetes platyurus								DD											DD	
2159	Hylopetes sagitta																			DD	
2160	Hylopetes sipora								EN								EN				
2161	Hylopetes spadiceus								LC								LC				
2162	Hylopetes winstoni								DD								DD				
2163	Hyomys dammermani								DD								DD				
2164	Hyomys goliath								LC								LC				
2165	Hyorhinomys stuempkei																			DD	
2166	Hyosciurus heinrichi								LC								LC				
2167	Hyosciurus ileile								VU								VU				
2168	Hyperacrius fertilis								VU		NT						NT				
2169	Hyperacrius wynnei								LC											LC	
2170	Hyperoodon ampullatus								DD												
2171	Hyperoodon planifrons								LC												
2172	Hypogeomys antimena								EN								EN				
2173	Hypsignathus monstrosus				LC				LC								LC				
2174	Hypsiprymnodon moschatus								LC								LC				
2175	Hypsugo affinis								LC											LC	
2176	Hypsugo alaschanicus								LC											LC	
2177	Hypsugo anthonyi								DD								DD				
2178	Hypsugo arabicus								DD											DD	
2179	Hypsugo bemainty																	LC			
2180	Hypsugo cadornae								LC											LC	
2181	Hypsugo dolichodon																			DD	
2182	Hypsugo eisentrauti				DD				DD											DD	
2183	Hypsugo joffrei								DD								DD				
2184	Hypsugo kitcheneri								DD								DD				
2185	Hypsugo lophurus								DD								DD				
2186	Hypsugo macrotis								DD								DD				
2187	Hypsugo savii								LC								LC				
2188	Hypsugo vordermanni								DD								DD				
